column1,column2,column3,column4,column5,column6,column7,column8,column9
LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,1995,15-19,15,5,1725.657,1675.323,3400.98
840,United States of America,1995,15-19,15,5,9365.431,8888.047,18253.478
826,United Kingdom,1994,15-19,15,5,1747.087,1693.922,3441.009
840,United States of America,1994,15-19,15,5,9225.742,8774.819,18000.561
826,United Kingdom,1993,15-19,15,5,1789.094,1729.085,3518.179
840,United States of America,1993,15-19,15,5,9130.371,8702.206,17832.577
826,United Kingdom,1992,15-19,15,5,1846.437,1776.842,3623.279
840,United States of America,1992,15-19,15,5,9096.603,8672.84,17769.443
826,United Kingdom,1991,15-19,15,5,1911.369,1831.792,3743.161
840,United States of America,1991,15-19,15,5,9130.219,8682.222,17812.441
826,United Kingdom,1990,15-19,15,5,1978.881,1890.917,3869.798
840,United States of America,1990,15-19,15,5,9222.214,8722.415,17944.629
826,United Kingdom,1989,15-19,15,5,2046.306,1961.325,4007.631
840,United States of America,1989,15-19,15,5,9303.68,8763.03,18066.71
826,United Kingdom,1988,15-19,15,5,2118.72,2035.854,4154.574
840,United States of America,1988,15-19,15,5,9416.997,8820.771,18237.768
826,United Kingdom,1987,15-19,15,5,2193.296,2109.705,4303.001
840,United States of America,1987,15-19,15,5,9563.543,8901.285,18464.828
826,United Kingdom,1986,15-19,15,5,2265.807,2178.059,4443.866
840,United States of America,1986,15-19,15,5,9740.554,9016.639,18757.193
826,United Kingdom,1985,15-19,15,5,2332.553,2238.52,4571.073
840,United States of America,1985,15-19,15,5,9942.141,9175.38,19117.521
826,United Kingdom,1984,15-19,15,5,2381.29,2287.216,4668.506
840,United States of America,1984,15-19,15,5,10142.555,9367.68,19510.235
826,United Kingdom,1983,15-19,15,5,2419.282,2323.97,4743.252
840,United States of America,1983,15-19,15,5,10365.984,9590.099,19956.083
826,United Kingdom,1982,15-19,15,5,2441.938,2343.377,4785.315
840,United States of America,1982,15-19,15,5,10601.118,9823.273,20424.391
826,United Kingdom,1981,15-19,15,5,2443.868,2340.22,4784.088
840,United States of America,1981,15-19,15,5,10817.631,10035.822,20853.453
826,United Kingdom,1980,15-19,15,5,2423.536,2314.353,4737.889
840,United States of America,1980,15-19,15,5,10985.213,10206.011,21191.224
826,United Kingdom,1979,15-19,15,5,2376.409,2270.597,4647.006
840,United States of America,1979,15-19,15,5,11002.048,10342.565,21344.613
826,United Kingdom,1978,15-19,15,5,2307.496,2205.656,4513.152
840,United States of America,1978,15-19,15,5,10976.404,10425.572,21401.976
826,United Kingdom,1977,15-19,15,5,2226.387,2128.575,4354.962
840,United States of America,1977,15-19,15,5,10922.237,10454.813,21377.05
826,United Kingdom,1976,15-19,15,5,2147.329,2052.843,4200.172
840,United States of America,1976,15-19,15,5,10855.192,10438.059,21293.251
826,United Kingdom,1975,15-19,15,5,2080.182,1988.021,4068.203
840,United States of America,1975,15-19,15,5,10778.025,10384.109,21162.134
826,United Kingdom,1974,15-19,15,5,2027.649,1933.5,3961.149
